id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;intention 
1;Aimee Danielson;YES!!!! That is my GIRL!!!! Love ya Ebonee!!!;UgwBqkNk4dMYXTBdHa14AaABAg;;1;https://www.youtube.com/watch?v=dfZAWpU28As&lc=UgwBqkNk4dMYXTBdHa14AaABAg;2020-08-25 21:42:32;3;YES!!!! That is my GIRL!!!! Love ya Ebonee!!!;http://www.youtube.com/channel/UCRZNs9RUe2SmGg8Po4hxwEw;0
2;Ebonee Williams;@Jaycation Aww you are so sweet! I loved doing this interview with you. So happy we met.;UgwBqkNk4dMYXTBdHa14AaABAg.9CnutmYuLsA9CpCp4w_BmY;Aimee Danielson;0;https://www.youtube.com/watch?v=dfZAWpU28As&lc=UgwBqkNk4dMYXTBdHa14AaABAg.9CnutmYuLsA9CpCp4w_BmY;2020-08-26 09:47:09;0;@Jaycation Aww you are so sweet! I loved doing this interview with you. So happy we met.;http://www.youtube.com/channel/UCrUvbDmzboBbkF4qV0AaZmg;0
3;Ebonee Williams;Love you more, Aimee!;UgwBqkNk4dMYXTBdHa14AaABAg.9CnutmYuLsA9CpCmbNZ_zI;Aimee Danielson;0;https://www.youtube.com/watch?v=dfZAWpU28As&lc=UgwBqkNk4dMYXTBdHa14AaABAg.9CnutmYuLsA9CpCmbNZ_zI;2020-08-26 09:46:49;0;Love you more, Aimee!;http://www.youtube.com/channel/UCrUvbDmzboBbkF4qV0AaZmg;0
4;Jaycation;Awesome! Ebonee is the best!;UgwBqkNk4dMYXTBdHa14AaABAg.9CnutmYuLsA9CoW8sIB6pw;Aimee Danielson;1;https://www.youtube.com/watch?v=dfZAWpU28As&lc=UgwBqkNk4dMYXTBdHa14AaABAg.9CnutmYuLsA9CoW8sIB6pw;2020-08-26 03:16:47;0;Awesome! Ebonee is the best!;http://www.youtube.com/channel/UCaJYATsZxIJuJfLmCo4aj6Q;0
5;Omar Ochoa;Hey planning a trip to San Diego this weekend how is the air quality down there given all the fires going on;UgwyQc-TkEUZA-bWFCB4AaABAg;;0;https://www.youtube.com/watch?v=dfZAWpU28As&lc=UgwyQc-TkEUZA-bWFCB4AaABAg;2020-08-25 16:59:52;1;Hey planning a trip to San Diego this weekend how is the air quality down there given all the fires going on;http://www.youtube.com/channel/UCihRNR7Y_Ddzrq39u8jvOhA;0
6;Jaycation;You can tell there is a faint smoke in the air and has an light orange tone to the sky at times. It hasnt hindered my breathing but then again i havent been working out much in this heat! Have a fun weekend.;UgwyQc-TkEUZA-bWFCB4AaABAg.9CnPYRY3mrm9Cnom79OZhV;Omar Ochoa;1;https://www.youtube.com/watch?v=dfZAWpU28As&lc=UgwyQc-TkEUZA-bWFCB4AaABAg.9CnPYRY3mrm9Cnom79OZhV;2020-08-25 20:49:03;0;You can tell there is a faint smoke in the air and has an light orange tone to the sky at times. It hasnt hindered my breathing but then again i havent been working out much in this heat! Have a fun weekend.;http://www.youtube.com/channel/UCaJYATsZxIJuJfLmCo4aj6Q;0
7;gamemaster47;Hey Jay, curious about which visa you need to get when you\'re going to start as a digital nomad in Barcelona. My cousin is from New York and she wants to move to BCN from NY but she doesn\'t know how to get the process started.;Ugxpnzs3-RcWZXDzp5Z4AaABAg;;0;https://www.youtube.com/watch?v=dfZAWpU28As&lc=Ugxpnzs3-RcWZXDzp5Z4AaABAg;2020-08-25 12:12:17;1;Hey Jay, curious about which visa you need to get when you\'re going to start as a digital nomad in Barcelona. My cousin is from New York and she wants to move to BCN from NY but she doesn\'t know how to get the process started.;http://www.youtube.com/channel/UCmQkl4KshWWBdq2Cp1LfKIA;0
8;Jaycation;Alot of people have parlayed a student visa to live in barcelona but you’d have to take courses at university or teach english. Work visas are difficult as you need to be sponsored by a company. It happens for people but its difficult. Alot of people hire lawyers if you are starting a business there to figure out a visa as well. Best of luck!;Ugxpnzs3-RcWZXDzp5Z4AaABAg.9Cmtd8rh-WP9Cno_5sUsuI;gamemaster47;1;https://www.youtube.com/watch?v=dfZAWpU28As&lc=Ugxpnzs3-RcWZXDzp5Z4AaABAg.9Cmtd8rh-WP9Cno_5sUsuI;2020-08-25 20:47:17;0;Alot of people have parlayed a student visa to live in barcelona but you’d have to take courses at university or teach english. Work visas are difficult as you need to be sponsored by a company. It happens for people but its difficult. Alot of people hire lawyers if you are starting a business there to figure out a visa as well. Best of luck!;http://www.youtube.com/channel/UCaJYATsZxIJuJfLmCo4aj6Q;0
9;Feel Taste;*Jaycation* Hopefully one of these days i will come BTW your my Favorite;UgxYs3L0oG-GMnojlyR4AaABAg;;1;https://www.youtube.com/watch?v=dfZAWpU28As&lc=UgxYs3L0oG-GMnojlyR4AaABAg;2020-08-25 11:33:57;1;*Jaycation* Hopefully one of these days i will come BTW your my Favorite;http://www.youtube.com/channel/UC0xHPdrJTNmYYPlQByHX13w;0
10;Jaycation;Thank you! I hope you get to visit someday as well. I appreciate your support for the channel!;UgxYs3L0oG-GMnojlyR4AaABAg.9CmpFP6zqub9CnoCus1O-I;Feel Taste;0;https://www.youtube.com/watch?v=dfZAWpU28As&lc=UgxYs3L0oG-GMnojlyR4AaABAg.9CmpFP6zqub9CnoCus1O-I;2020-08-25 20:44:07;0;Thank you! I hope you get to visit someday as well. I appreciate your support for the channel!;http://www.youtube.com/channel/UCaJYATsZxIJuJfLmCo4aj6Q;0
11;Wild About Philly ETS;Great Barcelona video !!! 🔥I love the way you put it together!! I think this is one of the best ones yet !! ❤ Looking forward to your next one! It\'s awesome!! Keep up the Good work!!!!! 🔥;UgxYVxmdP3eeLSbTrmN4AaABAg;;0;https://www.youtube.com/watch?v=dfZAWpU28As&lc=UgxYVxmdP3eeLSbTrmN4AaABAg;2020-08-25 11:06:05;1;Great Barcelona video !!! 🔥I love the way you put it together!! I think this is one of the best ones yet !! ❤ Looking forward to your next one! It\'s awesome!! Keep up the Good work!!!!! 🔥;http://www.youtube.com/channel/UCB1FUXJm-et92g5Ecq8261A;0
12;Jaycation;Much appreciated! Glad you enjoyed the video. Hope to do more of these;UgxYVxmdP3eeLSbTrmN4AaABAg.9Cmm3K2-y189Cno94SypQe;Wild About Philly ETS;0;https://www.youtube.com/watch?v=dfZAWpU28As&lc=UgxYVxmdP3eeLSbTrmN4AaABAg.9Cmm3K2-y189Cno94SypQe;2020-08-25 20:43:35;0;Much appreciated! Glad you enjoyed the video. Hope to do more of these;http://www.youtube.com/channel/UCaJYATsZxIJuJfLmCo4aj6Q;0